Time,Ch1,Ch2,status
2023/12/05 15:38:25.551,-233,-223,3
2023/12/05 15:38:25.553,-237,-224,3
2023/12/05 15:38:25.555,-243,-225,3
2023/12/05 15:38:25.556,-251,-226,3
2023/12/05 15:38:25.558,-260,-227,3
2023/12/05 15:38:25.560,-268,-228,3
2023/12/05 15:38:25.561,-276,-228,3
2023/12/05 15:38:25.563,-282,-228,3
2023/12/05 15:38:25.565,-286,-228,3
2023/12/05 15:38:25.566,-287,-228,3
2023/12/05 15:38:25.568,-286,-228,3
2023/12/05 15:38:25.570,-283,-228,3
2023/12/05 15:38:25.571,-279,-227,3
2023/12/05 15:38:25.573,-273,-226,3
2023/12/05 15:38:25.575,-268,-225,3
2023/12/05 15:38:25.576,-262,-223,3
2023/12/05 15:38:25.578,-257,-221,3
2023/12/05 15:38:25.580,-254,-219,3
2023/12/05 15:38:25.581,-251,-218,3
2023/12/05 15:38:25.583,-249,-216,3
2023/12/05 15:38:25.585,-248,-216,3
2023/12/05 15:38:25.586,-248,-216,3
2023/12/05 15:38:25.588,-248,-217,3
2023/12/05 15:38:25.590,-248,-218,3
2023/12/05 15:38:25.591,-248,-221,3
2023/12/05 15:38:25.593,-247,-223,3
2023/12/05 15:38:25.595,-247,-226,3
2023/12/05 15:38:25.596,-247,-228,3
2023/12/05 15:38:25.598,-248,-230,3
2023/12/05 15:38:25.600,-248,-230,3
2023/12/05 15:38:25.601,-250,-230,3
2023/12/05 15:38:25.603,-252,-230,3
2023/12/05 15:38:25.605,-254,-229,3
2023/12/05 15:38:25.606,-257,-228,3
2023/12/05 15:38:25.608,-260,-227,3
2023/12/05 15:38:25.610,-262,-227,3
2023/12/05 15:38:25.611,-263,-227,3
2023/12/05 15:38:25.613,-263,-228,3
2023/12/05 15:38:25.615,-262,-230,3
2023/12/05 15:38:25.616,-259,-231,3
2023/12/05 15:38:25.618,-256,-233,3
2023/12/05 15:38:25.620,-252,-234,3
2023/12/05 15:38:25.621,-248,-234,3
2023/12/05 15:38:25.623,-245,-233,3
2023/12/05 15:38:25.625,-244,-231,3
2023/12/05 15:38:25.626,-245,-229,3
2023/12/05 15:38:25.628,-248,-226,3
2023/12/05 15:38:25.630,-253,-223,3
2023/12/05 15:38:25.631,-260,-220,3
2023/12/05 15:38:25.633,-267,-218,3
2023/12/05 15:38:25.635,-273,-216,3
2023/12/05 15:38:25.636,-278,-215,3
2023/12/05 15:38:25.638,-279,-215,3
2023/12/05 15:38:25.640,-278,-215,3
2023/12/05 15:38:25.641,-273,-216,3
2023/12/05 15:38:25.643,-265,-217,3
2023/12/05 15:38:25.645,-255,-219,3
2023/12/05 15:38:25.646,-244,-221,3
2023/12/05 15:38:25.648,-234,-224,3
2023/12/05 15:38:25.650,-225,-228,3
2023/12/05 15:38:25.651,-220,-232,3
2023/12/05 15:38:25.653,-218,-237,3
2023/12/05 15:38:25.655,-219,-242,3
2023/12/05 15:38:25.656,-224,-246,3
2023/12/05 15:38:25.658,-231,-250,3
2023/12/05 15:38:25.660,-238,-252,3
2023/12/05 15:38:25.661,-244,-253,3
2023/12/05 15:38:25.663,-248,-251,3
2023/12/05 15:38:25.665,-249,-247,3
2023/12/05 15:38:25.666,-246,-242,3
2023/12/05 15:38:25.668,-239,-234,3
2023/12/05 15:38:25.670,-231,-226,3
2023/12/05 15:38:25.671,-220,-218,3
2023/12/05 15:38:25.673,-211,-211,3
2023/12/05 15:38:25.675,-203,-206,3
2023/12/05 15:38:25.676,-197,-203,3
2023/12/05 15:38:25.678,-196,-204,3
2023/12/05 15:38:25.680,-198,-207,3
2023/12/05 15:38:25.681,-203,-213,3
2023/12/05 15:38:25.683,-211,-221,3
2023/12/05 15:38:25.685,-219,-228,3
2023/12/05 15:38:25.686,-227,-234,3
2023/12/05 15:38:25.688,-232,-239,3
2023/12/05 15:38:25.690,-235,-240,3
2023/12/05 15:38:25.691,-234,-237,3
2023/12/05 15:38:25.693,-230,-232,3
2023/12/05 15:38:25.695,-225,-225,3
2023/12/05 15:38:25.696,-219,-218,3
2023/12/05 15:38:25.698,-213,-212,3
2023/12/05 15:38:25.700,-210,-209,3
2023/12/05 15:38:25.701,-211,-211,3
2023/12/05 15:38:25.703,-216,-220,3
2023/12/05 15:38:25.705,-225,-234,3
2023/12/05 15:38:25.706,-238,-256,3
2023/12/05 15:38:25.708,-253,-282,3
2023/12/05 15:38:25.710,-267,-311,3
2023/12/05 15:38:25.711,-281,-340,3
2023/12/05 15:38:25.713,-291,-368,3
2023/12/05 15:38:25.715,-297,-392,3
2023/12/05 15:38:25.716,-298,-410,3
2023/12/05 15:38:25.718,-295,-421,3
2023/12/05 15:38:25.720,-289,-424,3
2023/12/05 15:38:25.721,-281,-422,3
2023/12/05 15:38:25.723,-272,-415,3
2023/12/05 15:38:25.725,-265,-404,3
2023/12/05 15:38:25.726,-261,-393,3
2023/12/05 15:38:25.728,-261,-383,3
2023/12/05 15:38:25.730,-264,-375,3
2023/12/05 15:38:25.731,-270,-370,3
2023/12/05 15:38:25.733,-278,-370,3
2023/12/05 15:38:25.735,-285,-372,3
2023/12/05 15:38:25.736,-292,-376,3
2023/12/05 15:38:25.738,-295,-382,3
2023/12/05 15:38:25.740,-295,-387,3
2023/12/05 15:38:25.741,-291,-391,3
2023/12/05 15:38:25.743,-283,-392,3
2023/12/05 15:38:25.745,-273,-391,3
2023/12/05 15:38:25.746,-263,-388,3
2023/12/05 15:38:25.748,-253,-383,3
2023/12/05 15:38:25.750,-245,-378,3
2023/12/05 15:38:25.751,-240,-374,3
2023/12/05 15:38:25.753,-239,-372,3
2023/12/05 15:38:25.755,-240,-371,3
2023/12/05 15:38:25.756,-245,-374,3
2023/12/05 15:38:25.758,-251,-380,3
2023/12/05 15:38:25.760,-258,-387,3
2023/12/05 15:38:25.761,-264,-396,3
2023/12/05 15:38:25.763,-269,-404,3
2023/12/05 15:38:25.765,-271,-411,3
2023/12/05 15:38:25.766,-272,-416,3
2023/12/05 15:38:25.768,-270,-416,3
2023/12/05 15:38:25.770,-268,-412,3
2023/12/05 15:38:25.771,-265,-403,3
2023/12/05 15:38:25.773,-261,-389,3
2023/12/05 15:38:25.775,-258,-371,3
2023/12/05 15:38:25.776,-256,-351,3
2023/12/05 15:38:25.778,-254,-328,3
2023/12/05 15:38:25.780,-252,-305,3
2023/12/05 15:38:25.781,-250,-283,3
2023/12/05 15:38:25.783,-247,-264,3
2023/12/05 15:38:25.785,-245,-248,3
2023/12/05 15:38:25.786,-241,-236,3
2023/12/05 15:38:25.788,-238,-228,3
2023/12/05 15:38:25.790,-235,-225,3
2023/12/05 15:38:25.791,-233,-225,3
2023/12/05 15:38:25.793,-232,-228,3
2023/12/05 15:38:25.795,-232,-233,3
2023/12/05 15:38:25.796,-234,-239,3
2023/12/05 15:38:25.798,-237,-244,3
2023/12/05 15:38:25.800,-241,-248,3
2023/12/05 15:38:25.801,-244,-249,3
2023/12/05 15:38:25.803,-247,-249,3
2023/12/05 15:38:25.805,-248,-245,3
2023/12/05 15:38:25.806,-246,-240,3
2023/12/05 15:38:25.808,-243,-233,3
2023/12/05 15:38:25.810,-237,-224,3
2023/12/05 15:38:25.811,-229,-216,3
2023/12/05 15:38:25.813,-221,-208,3
2023/12/05 15:38:25.815,-212,-202,3
2023/12/05 15:38:25.816,-204,-197,3
2023/12/05 15:38:25.818,-198,-194,3
2023/12/05 15:38:25.820,-194,-193,3
2023/12/05 15:38:25.821,-193,-194,3
2023/12/05 15:38:25.823,-195,-196,3
2023/12/05 15:38:25.825,-198,-200,3
2023/12/05 15:38:25.826,-204,-203,3
2023/12/05 15:38:25.828,-211,-205,3
2023/12/05 15:38:25.830,-218,-207,3
2023/12/05 15:38:25.831,-224,-208,3
2023/12/05 15:38:25.833,-228,-207,3
2023/12/05 15:38:25.835,-231,-205,3
2023/12/05 15:38:25.836,-232,-202,3
2023/12/05 15:38:25.838,-231,-199,3
2023/12/05 15:38:25.840,-228,-196,3
2023/12/05 15:38:25.841,-223,-194,3
2023/12/05 15:38:25.843,-219,-194,3
2023/12/05 15:38:25.845,-215,-195,3
2023/12/05 15:38:25.846,-212,-198,3
2023/12/05 15:38:25.848,-211,-202,3
2023/12/05 15:38:25.850,-212,-208,3
2023/12/05 15:38:25.851,-214,-215,3
2023/12/05 15:38:25.853,-219,-221,3
2023/12/05 15:38:25.855,-225,-227,3
2023/12/05 15:38:25.856,-232,-231,3
2023/12/05 15:38:25.858,-239,-234,3
2023/12/05 15:38:25.860,-245,-234,3
2023/12/05 15:38:25.861,-251,-233,3
2023/12/05 15:38:25.863,-254,-230,3
2023/12/05 15:38:25.865,-256,-225,3
2023/12/05 15:38:25.866,-256,-220,3
2023/12/05 15:38:25.868,-255,-215,3
2023/12/05 15:38:25.870,-253,-209,3
2023/12/05 15:38:25.871,-251,-204,3
2023/12/05 15:38:25.873,-248,-200,3
2023/12/05 15:38:25.875,-246,-197,3
2023/12/05 15:38:25.876,-244,-196,3
2023/12/05 15:38:25.878,-244,-195,3
2023/12/05 15:38:25.880,-244,-195,3
2023/12/05 15:38:25.881,-245,-197,3
2023/12/05 15:38:25.883,-247,-199,3
2023/12/05 15:38:25.885,-249,-202,3
2023/12/05 15:38:25.886,-251,-204,3
2023/12/05 15:38:25.888,-253,-207,3
2023/12/05 15:38:25.890,-255,-210,3
2023/12/05 15:38:25.891,-257,-213,3
2023/12/05 15:38:25.893,-259,-215,3
2023/12/05 15:38:25.895,-261,-217,3
2023/12/05 15:38:25.896,-262,-219,3
2023/12/05 15:38:25.898,-264,-220,3
2023/12/05 15:38:25.900,-265,-221,3
2023/12/05 15:38:25.901,-267,-221,3
2023/12/05 15:38:25.903,-268,-222,3
2023/12/05 15:38:25.905,-268,-223,3
2023/12/05 15:38:25.906,-267,-224,3
2023/12/05 15:38:25.908,-266,-224,3
2023/12/05 15:38:25.910,-263,-225,3
2023/12/05 15:38:25.911,-259,-226,3
2023/12/05 15:38:25.913,-253,-226,3
2023/12/05 15:38:25.915,-247,-225,3
2023/12/05 15:38:25.916,-240,-224,3
2023/12/05 15:38:25.918,-234,-221,3
2023/12/05 15:38:25.920,-228,-218,3
2023/12/05 15:38:25.921,-225,-215,3
2023/12/05 15:38:25.923,-224,-211,3
2023/12/05 15:38:25.925,-226,-208,3
2023/12/05 15:38:25.926,-230,-204,3
2023/12/05 15:38:25.928,-238,-202,3
2023/12/05 15:38:25.930,-246,-200,3
2023/12/05 15:38:25.931,-256,-200,3
2023/12/05 15:38:25.933,-266,-200,3
2023/12/05 15:38:25.935,-274,-200,3
2023/12/05 15:38:25.936,-279,-201,3
2023/12/05 15:38:25.938,-281,-202,3
2023/12/05 15:38:25.940,-279,-202,3
2023/12/05 15:38:25.941,-274,-202,3
2023/12/05 15:38:25.943,-266,-202,3
2023/12/05 15:38:25.945,-255,-201,3
2023/12/05 15:38:25.946,-244,-200,3
2023/12/05 15:38:25.948,-232,-199,3
2023/12/05 15:38:25.950,-222,-198,3
2023/12/05 15:38:25.951,-215,-197,3
2023/12/05 15:38:25.953,-210,-197,3
2023/12/05 15:38:25.955,-209,-196,3
2023/12/05 15:38:25.956,-210,-196,3
2023/12/05 15:38:25.958,-214,-197,3
2023/12/05 15:38:25.960,-220,-197,3
2023/12/05 15:38:25.961,-226,-197,3
2023/12/05 15:38:25.963,-232,-197,3
2023/12/05 15:38:25.965,-237,-197,3
2023/12/05 15:38:25.966,-241,-197,3
2023/12/05 15:38:25.968,-243,-197,3
2023/12/05 15:38:25.970,-244,-198,3
2023/12/05 15:38:25.971,-243,-198,3
2023/12/05 15:38:25.973,-242,-200,3
2023/12/05 15:38:25.975,-241,-201,3
2023/12/05 15:38:25.976,-241,-204,3
2023/12/05 15:38:25.978,-241,-206,3
2023/12/05 15:38:25.980,-242,-208,3
2023/12/05 15:38:25.981,-244,-210,3
2023/12/05 15:38:25.983,-247,-212,3
2023/12/05 15:38:25.985,-250,-213,3
2023/12/05 15:38:25.986,-254,-214,3
2023/12/05 15:38:25.988,-256,-213,3
2023/12/05 15:38:25.990,-258,-212,3
2023/12/05 15:38:25.991,-258,-211,3
2023/12/05 15:38:25.993,-257,-210,3
2023/12/05 15:38:25.995,-254,-208,3
2023/12/05 15:38:25.996,-250,-207,3
2023/12/05 15:38:25.998,-245,-207,3
2023/12/05 15:38:26.000,-240,-208,3
2023/12/05 15:38:26.001,-236,-210,3
2023/12/05 15:38:26.003,-232,-212,3
2023/12/05 15:38:26.005,-230,-216,3
2023/12/05 15:38:26.006,-231,-220,3
2023/12/05 15:38:26.008,-232,-223,3
2023/12/05 15:38:26.010,-236,-227,3
2023/12/05 15:38:26.011,-240,-229,3
2023/12/05 15:38:26.013,-244,-230,3
2023/12/05 15:38:26.015,-248,-230,3
2023/12/05 15:38:26.016,-250,-228,3
2023/12/05 15:38:26.018,-251,-224,3
2023/12/05 15:38:26.020,-250,-219,3
2023/12/05 15:38:26.021,-248,-214,3
2023/12/05 15:38:26.023,-245,-208,3
2023/12/05 15:38:26.025,-242,-202,3
2023/12/05 15:38:26.026,-239,-198,3
2023/12/05 15:38:26.028,-237,-194,3
2023/12/05 15:38:26.030,-237,-192,3
2023/12/05 15:38:26.031,-238,-191,3
2023/12/05 15:38:26.033,-240,-190,3
2023/12/05 15:38:26.035,-243,-191,3
2023/12/05 15:38:26.036,-247,-193,3
2023/12/05 15:38:26.038,-249,-194,3
2023/12/05 15:38:26.040,-251,-196,3
2023/12/05 15:38:26.041,-252,-198,3
2023/12/05 15:38:26.043,-251,-200,3
2023/12/05 15:38:26.045,-249,-201,3
2023/12/05 15:38:26.046,-247,-203,3
2023/12/05 15:38:26.048,-245,-205,3
2023/12/05 15:38:26.050,-244,-207,3
2023/12/05 15:38:26.051,-245,-210,3
2023/12/05 15:38:26.053,-248,-212,3
2023/12/05 15:38:26.055,-252,-215,3
2023/12/05 15:38:26.056,-257,-218,3
2023/12/05 15:38:26.058,-263,-220,3
2023/12/05 15:38:26.060,-268,-222,3
2023/12/05 15:38:26.061,-272,-224,3
2023/12/05 15:38:26.063,-274,-225,3
2023/12/05 15:38:26.065,-274,-225,3
2023/12/05 15:38:26.066,-271,-225,3
2023/12/05 15:38:26.068,-266,-224,3
2023/12/05 15:38:26.070,-259,-222,3
2023/12/05 15:38:26.071,-252,-220,3
2023/12/05 15:38:26.073,-244,-218,3
2023/12/05 15:38:26.075,-237,-216,3
2023/12/05 15:38:26.076,-231,-214,3
2023/12/05 15:38:26.078,-228,-212,3
2023/12/05 15:38:26.080,-226,-211,3
2023/12/05 15:38:26.081,-226,-209,3
2023/12/05 15:38:26.083,-228,-208,3
2023/12/05 15:38:26.085,-230,-207,3
2023/12/05 15:38:26.086,-233,-207,3
2023/12/05 15:38:26.088,-235,-208,3
2023/12/05 15:38:26.090,-237,-210,3
2023/12/05 15:38:26.091,-237,-211,3
2023/12/05 15:38:26.093,-237,-214,3
2023/12/05 15:38:26.095,-235,-217,3
2023/12/05 15:38:26.096,-233,-220,3
2023/12/05 15:38:26.098,-230,-223,3
2023/12/05 15:38:26.100,-226,-225,3
2023/12/05 15:38:26.101,-223,-228,3
2023/12/05 15:38:26.103,-221,-229,3
2023/12/05 15:38:26.105,-218,-231,3
2023/12/05 15:38:26.106,-216,-232,3
2023/12/05 15:38:26.108,-215,-232,3
2023/12/05 15:38:26.110,-214,-232,3
2023/12/05 15:38:26.111,-213,-231,3
2023/12/05 15:38:26.113,-213,-230,3
2023/12/05 15:38:26.115,-212,-228,3
2023/12/05 15:38:26.116,-212,-226,3
2023/12/05 15:38:26.118,-213,-224,3
2023/12/05 15:38:26.120,-213,-221,3
2023/12/05 15:38:26.121,-214,-217,3
2023/12/05 15:38:26.123,-216,-214,3
2023/12/05 15:38:26.125,-219,-210,3
2023/12/05 15:38:26.126,-222,-207,3
2023/12/05 15:38:26.128,-226,-204,3
2023/12/05 15:38:26.130,-229,-202,3
2023/12/05 15:38:26.131,-233,-201,3
2023/12/05 15:38:26.133,-236,-200,3
2023/12/05 15:38:26.135,-237,-200,3
2023/12/05 15:38:26.136,-238,-201,3
2023/12/05 15:38:26.138,-236,-202,3
2023/12/05 15:38:26.140,-233,-204,3
2023/12/05 15:38:26.141,-228,-205,3
2023/12/05 15:38:26.143,-222,-207,3
2023/12/05 15:38:26.145,-216,-209,3
2023/12/05 15:38:26.146,-211,-210,3
2023/12/05 15:38:26.148,-206,-212,3
2023/12/05 15:38:26.150,-203,-214,3
2023/12/05 15:38:26.151,-203,-215,3
2023/12/05 15:38:26.153,-205,-217,3
2023/12/05 15:38:26.155,-209,-219,3
2023/12/05 15:38:26.156,-215,-221,3
2023/12/05 15:38:26.158,-222,-224,3
2023/12/05 15:38:26.160,-230,-226,3
2023/12/05 15:38:26.161,-236,-228,3
2023/12/05 15:38:26.163,-241,-230,3
2023/12/05 15:38:26.165,-244,-230,3
2023/12/05 15:38:26.166,-243,-230,3
2023/12/05 15:38:26.168,-240,-228,3
2023/12/05 15:38:26.170,-234,-225,3
2023/12/05 15:38:26.171,-227,-220,3
2023/12/05 15:38:26.173,-217,-215,3
2023/12/05 15:38:26.175,-208,-209,3
2023/12/05 15:38:26.176,-200,-204,3
2023/12/05 15:38:26.178,-193,-198,3
2023/12/05 15:38:26.180,-189,-194,3
2023/12/05 15:38:26.181,-188,-192,3
